01;;Geisteswissenschaften
04;;Mathematik, Naturwissenschaften
05;;Humanmedizin/Gesundheitswissenschaften
07;;Agrar-, Forst- und Ern‰hrungswissenschaften, Veterin‰rmedizin
08;;Ingenieurwissenschaften
09;;Kunst, Kunstwissenschaft
11;;Rechts- und Verwaltungswissenschaften
12;;Wirtschaftswissenschaften
13;;Sozial- und Verhaltenswissenschaften, Sport
15;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen)
20;;Zentrale Einrichtungen der Hochschulkliniken (nur Humanmedizin)
90;;Auﬂerhalb der Studienbereichsgliederung/Sonstige F‰cher
