Studienbereich;Sortierschlüssel;Name;Gültig ab;Gültig bis;Faechergruppe;
01;;Geisteswissenschaften allgemein;20152;99999;01;
02;;Evangelische Theologie, -Religionslehre;20072;99999;01;
03;;Katholische Theologie, -Religionslehre;20072;99999;01;
04;;Philosophie;20072;99999;01;
05;;Geschichte;20072;99999;01;
06;;Informations- und Bibliothekswissenschaften;20202;99999;01;
07;;Allgemeine und vergleichende Literatur- und Sprachwissenschaft;20072;99999;01;
08;;Altphilologie (klassische Philologie), Neugriechisch;20072;99999;01;
09;;Germanistik (Deutsch, germanische Sprachen ohne Anglistik);20072;99999;01;
10;;Anglistik, Amerikanistik;20072;99999;01;
11;;Romanistik;20072;99999;01;
12;;Slawistik, Baltistik, Finno-Ugristik;20072;99999;01;
13;;Sonstige Sprach- und Kulturwissenschaften;20202;99999;01;
14;;Kulturwissenschaften i.e.S.;20072;99999;01;
18;;Islamische Studien/Islamische Theologie;20202;99999;01;
19;;Medienwissenschaft;20202;99999;01;
23;;Sozial- und Verhaltenswissenschaften, Sport allgemein;20252;99999;13;
24;;Regionalwissenschaften;20252;99999;13;
25;;Politikwissenschaft;20252;99999;13;
26;;Sozialwissenschaften/Soziologie;20252;99999;13;
27;;Sozialwesen;20252;99999;13;
28;;Rechtswissenschaften;20252;99999;11;
29;;Verwaltungswissenschaften;20252;99999;11;
30;;Wirtschaftswissenschaften;20252;99999;12;
31;;Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt;20252;99999;12;
32;;Psychologie;20252;99999;13;
33;;Erziehungswissenschaften;20252;99999;13;
34;;Kommunikationswissenschaft/Publizistik;20252;99999;13;
35;;Sport, Sportwissenschaft;20252;99999;13;
36;;Mathematik, Naturwissenschaften allgemein;20072;99999;04;
37;;Mathematik;20072;99999;04;
39;;Physik, Astronomie;20072;99999;04;
40;;Chemie;20072;99999;04;
41;;Pharmazie;20072;99999;04;
42;;Biologie;20072;99999;04;
43;;Geowissenschaften (ohne Geographie);20072;99999;04;
44;;Geographie;20072;99999;04;
48;;Gesundheitswissenschaften;20252;99999;05;
49;;Humanmedizin (ohne Zahnmedizin);20072;99999;05;
50;;Zahnmedizin;20072;99999;05;
51;;Veterinärmedizin;20152;99999;07;
57;;Landschaftsgestaltung/Naturschutz;20252;99999;07;
58;;Agrarwissenschaften, Lebensmittel- und Getränketechnologie;20072;99999;07;
59;;Forstwissenschaft, Holzwirtschaft;20072;99999;07;
60;;Ernährungs- und Haushaltswissenschaften;20072;99999;07;
61;;Ingenieurwesen allgemein;20072;99999;08;
62;;Bergbau, Hüttenwesen;20072;99999;08;
63;;Maschinenbau/Verfahrenstechnik;20072;99999;08;
64;;Elektrotechnik und Informationstechnik;20152;99999;08;
65;;Verkehrstechnik, Nautik;20072;99999;08;
66;;Architektur, Innenarchitektur;20072;99999;08;
67;;Raumplanung;20072;99999;08;
68;;Bauingenieurwesen;20072;99999;08;
69;;Vermessungswesen;20072;99999;08;
70;;Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt;20092;99999;08;
71;;Informatik;20152;99999;08;
72;;Materialwissenschaft und Werkstofftechnik;20152;99999;08;
74;;Kunst, Kunstwissenschaft allgemein;20072;99999;09;
75;;Bildende Kunst;20072;99999;09;
76;;Gestaltung;20072;99999;09;
77;;Darstellende Kunst, Film und Fernsehen, Theaterwissenschaft;20072;99999;09;
78;;Musik;20252;99999;09;
79;;Kunstwissenschaft/-pädagogik;20252;99999;09;
80;;Musikwissenschaft/-pädagogik;20252;99999;09;
83;;Außerhalb der Studienbereichsgliederung;20252;99999;90;
